id,Grader,Class,Qid,CommentByGrader,Student,GradeActual,Grade,TagWeights,QuestionImg,Finish/Graded Already,NotesOfStudent,Bookmarked,MarkedAsLearnedByStudent
35976,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2716)_Q1,sdfsdfsdfsc,10000001,1.5,1.5,"[{""TagWeight"":1,""TagName"":""Method problem""},{""TagWeight"":0,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/10000001/(edited)10530626_01.jpg,TRUE,sdfsdf,FALSE,TRUE
35977,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2717)_Q2,,10000001,4.5,4.5,"[{""TagWeight"":""2"",""TagName"":""Method problem""},{""TagWeight"":1,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/10000001/(edited)10530626_02.jpg,TRUE,,FALSE,FALSE
35978,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2718)_Q3,,10000001,3,3,"[{""TagWeight"":""2"",""TagName"":""Method problem""},{""TagWeight"":0,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/10000001/(edited)10530626_03.jpg,TRUE,,FALSE,FALSE
35979,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2716)_Q1,,undefine4(103306072_41.jpg),6,5,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine4(103306072_41.jpg)/(edited)103306072_41.jpg,TRUE,,FALSE,FALSE
35980,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2717)_Q2,,undefine4(103306072_41.jpg),4.5,4.5,"[{""TagWeight"":""2"",""TagName"":""Method problem""},{""TagWeight"":1,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine4(103306072_41.jpg)/(edited)103306072_42.jpg,TRUE,,FALSE,FALSE
35981,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2718)_Q3,,undefine4(103306072_41.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine4(103306072_41.jpg)/103306072_43.jpg,TRUE,,FALSE,FALSE
35982,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2716)_Q1,,undefine7(103306076_01.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine7(103306076_01.jpg)/(edited)103306076_01.jpg,TRUE,,FALSE,FALSE
35983,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2717)_Q2,,undefine7(103306076_01.jpg),4.5,4.5,"[{""TagWeight"":""2"",""TagName"":""Method problem""},{""TagWeight"":1,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine7(103306076_01.jpg)/(edited)103306076_02.jpg,TRUE,,FALSE,FALSE
35984,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2718)_Q3,,undefine7(103306076_01.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine7(103306076_01.jpg)/103306076_03.jpg,TRUE,,FALSE,FALSE
35985,,Programming Language II_659,disable2017-05-31 21:54:55.642000twsrrr/Programming Language II_649(2716)_Q1,,undefine10(104303016_09.jpg),4.5,4.5,"[{""TagWeight"":""2"",""TagName"":""Method problem""},{""TagWeight"":1,""TagName"":""Arithmatics""}]",spring2017/ProgrammingLanguageII/twsrrr/undefine10(104303016_09.jpg)/(edited)104303016_09.jpg,TRUE,,FALSE,FALSE
